participant,condition,value
1,A,1.6243453636632417
2,A,-0.6117564136500754
3,A,-0.5281717522634558
4,A,-1.0729686221561705
5,A,0.8654076293246785
6,A,-2.3015386968802827
7,A,1.74481176421648
8,A,-0.7612069008951028
9,A,0.31903909605709857
10,A,-0.2493703754774101
11,A,1.462107937044974
12,A,-2.060140709497654
13,A,-0.3224172040135075
14,A,-0.38405435466841564
15,A,1.1337694423354374
16,A,-1.0998912673140309
17,A,-0.17242820755043575
18,A,-0.8778584179213718
19,A,0.04221374671559283
20,A,0.5828152137158222
1,B,1.7142834459419496
2,B,-0.29728404266611397
3,B,-0.23801268020417626
4,B,-0.8227191882659837
5,B,1.1554932242511198
6,B,-2.169911482797716
7,B,1.9325227416646151
8,B,-0.6547838443210097
9,B,0.492250288094497
10,B,0.003665171196408523
11,B,1.5929418618724431
12,B,-1.8998160621832518
13,B,-0.19113447402546743
14,B,-0.2685749188182876
15,B,1.2666448292517556
16,B,-0.901157727205921
17,B,-0.08415924241396353
18,B,-0.6544168481396625
19,B,0.40819396442657996
20,B,0.8570196297735557
